Environment Canada
Monthly Values for August - 1987

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"ACTIVE PASS","48.867","-123.283","BC","",,NA,"",,"",,"0.0","0",NA,"3.8","0",NA,"0.0","1","","",NA,"","","1010066"
"CENTRAL SAANICH VEYANESS","48.583","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"13.6","0",NA,"0.0","2","","",NA,"","","1011467"
"CENTRAL SAANICH ISL VIEW","48.571","-123.373","BC","",,NA,"",,"",,"0.0","0",NA,"13.6","0","52.0","0.0","2","","",NA,"","","10114F6"
"COLWOOD HATLEY DR","48.418","-123.481","BC","",,NA,"",,"",,"0.0","0",NA,"23.0","0","104.0","0.0","2","","",NA,"","","1011810"
"CORDOVA BAY SOUTH","48.517","-123.367","BC","16.9","0",NA,"26.0","0","9.5","0","0.0","0",NA,"16.2","0",NA,"0.0","2","","",NA,"42.8","7.4","1011922"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","18.4","0","0.2","34.0","0","7.5","0","0.0","0",NA,"9.9","0","22.0","0.0","2","281.0",".08333333333333333333333333333333333333",NA,"23.1","35.2","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","18.9","0","0.9","34.5","0","7.0","0","0.0","0",NA,"11.2","0","28.0","0.0","2","","",NA,"15.0","44.0","1012055"
"DUNCAN FORESTRY","48.767","-123.683","BC","17.3","0",NA,"32.5","0","5.0","0","0.0","0",NA,"12.0","0",NA,"0.0","2","","",NA,"34.8","12.5","1012570"
"DUNCAN KELVIN CREEK","48.733","-123.726","BC","",,"","",,"",,"0.0","0",NA,"16.0","0","48.0","0.0","2","","",NA,"","","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","",,NA,"",,"",,"0.0","0",NA,"11.4","0",NA,"0.0","2","","",NA,"","","1012710"
"GANGES MANSELL RD","48.872","-123.497","BC","",,NA,"",,"",,"0.0","0",NA,"7.9","0",NA,"0.0","2","","",NA,"","","1013051"
"GALIANO NORTH","48.985","-123.574","BC","18.2","0",NA,"31.0","0","10.0","0","0.0","0",NA,"3.0","0",NA,"0.0","1","","",NA,"21.3","28.6","10130MN"
"MAYNE ISLAND","48.845","-123.320","BC","16.0","0","-0.9","28.5","0","6.0","0","0.0","0",NA,"6.0","0","25.0","0.0","1","","",NA,"66.8","5.8","1014931"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"11.6","0","47.0","0.0","1","","",NA,"","","1015105"
"METCHOSIN HAPPY VALLEY","48.417","-123.533","BC","",,NA,"",,"",,"0.0","0",NA,"12.0","0","48.0","0.0","1","","",NA,"","","1015107"
"NORTH COWICHAN","48.825","-123.720","BC","",,NA,"",,"",,"0.0","0",NA,"13.0","0","43.0","0.0","2","","",NA,"","","1015628"
"PENDER ISLAND","48.767","-123.300","BC","17.8","0",NA,"28.5","0","9.5","0","0.0","0",NA,"9.7","0",NA,"0.0","2","","",NA,"28.2","22.2","1016120"
"PORT RENFREW","48.591","-124.326","BC","15.4","0","-0.2","28.0","0","6.5","0","0.0","0",NA,"11.2","0","14.0","0.0","1","","",NA,"84.0","2.6","1016335"
"RACE ROCKS LIGHTSTATION","48.300","-123.533","BC","13.6","0",NA,"23.0","0","9.0","0","0.0","0",NA,"13.2","0",NA,"0.0","1","","",NA,"136.0","0.0","1016641"
"SAANICHTON CDA","48.698","-123.594","BC","17.1","0","-0.1","28.5","0","8.5","0","0.0","0",NA,"",,NA,"0.0","","307.3","0","115.0","40.4","11.4","1016940"
"SALTSPRING IS CUSHEON LK","48.820","-123.477","BC","16.4","0","0.2","31.0","0","4.5","0","0.0","0",NA,"8.8","0","34.0","0.0","3","","",NA,"56.9","6.9","1016992"
"SALTSPRING ST MARY'S L","48.888","-123.547","BC","18.2","0","-0.2","30.0","0","10.0","0","0.0","0",NA,"4.4","0","16.0","0.0","2","","",NA,"27.0","32.1","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","0",NA,"15.0","0","56.0","0.0","2","","",NA,"","","1016RM0"
"SATURNA ISLAND CS","48.783","-123.050","BC","16.9","0",NA,"25.5","0","10.0","0","0.0","0",NA,"9.2","0",NA,"0.0","2","318.9","0",NA,"45.4","12.5","1017101"
"SHAWNIGAN LAKE","48.647","-123.627","BC","17.8","0","0.0","33.0","0","8.0","0","0.0","0",NA,"18.4","0","66.0","0.0","2","","",NA,"29.8","24.7","1017230"
"SOOKE","48.367","-123.733","BC","",,NA,"",,"",,"0.0","0",NA,"9.3","0",NA,"0.0","1","","",NA,"","","1017556"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"0.0","0",NA,"15.8","0","51.0","0.0","1","","",NA,"","","1017563"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","16.2","0",NA,"29.5","0","9.3","0","0.0","0",NA,"13.8","0",NA,"0.0","1","360.5","0",NA,"68.1","11.2","1018610"
"VICTORIA HIGHLAND","48.509","-123.508","BC","16.7","1","-0.6","32.5","0","4.5","1","0.0","0",NA,"22.8","0","81.0","0.0","2","","",NA,"55.8","15.3","1018616"
"VICTORIA INT'L A","48.647","-123.426","BC","16.5","0","-0.2","29.8","0","7.5","0","0.0","0",NA,"11.4","0","48.0","0.0","2","348.2","0","117.0","52.3","6.8","1018620"
"VICTORIA MARINE","48.367","-123.750","BC","14.3","0",NA,"26.8","0","7.1","0","0.0","0",NA,"10.9","0",NA,"0.0","2","","",NA,"115.5","0.4","1018642"
"WILLIAM HEAD","48.340","-123.532","BC","15.9","0","-0.6","24.0","0","9.0","0","0.0","0",NA,"10.6","0","48.0","0.0","1","","",NA,"66.9","2.6","1018935"
"VICTORIA U VIC","48.467","-123.333","BC","",,NA,"",,"",,"0.0","0",NA,"5.2","0",NA,"0.0","1","","",NA,"","","1018FF6"
"VICTORIA PHYLLIS STREET","48.455","-123.267","BC","15.9","0",NA,"25.5","0","8.5","0","0.0","0",NA,"15.0","0",NA,"0.0","2","","",NA,"68.8","2.8","101HFEE"
"VICTORIA PRINCESS AVE","48.433","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"16.9","0",NA,"0.0","2","","",NA,"","","101Q655"
"ALERT BAY","50.583","-126.933","BC","14.4","0",NA,"26.6","0","8.2","0","0.0","0",NA,"32.5","0",NA,"0.0","5","","",NA,"112.8","0.7","1020270"
"BALLENAS ISLAND","49.350","-124.160","BC","",,NA,"",,"",,"0.0","0",NA,"12.2","0",NA,"0.0","1","","",NA,"","","1020590"
"BLACK CREEK","49.846","-125.133","BC","",,"","",,"",,"0.0","0",NA,"12.2","0","28.0","0.0","2","","",NA,"","","1020880"
"BLIND CHANNEL","50.417","-125.500","BC","",,NA,"",,"",,"0.0","0",NA,"23.4","0",NA,"0.0","2","","",NA,"","","1020885"
"CAMPBELL RIVER A","49.951","-125.271","BC","17.1","0","-0.1","31.5","0","4.8","0","0.0","0",NA,"12.5","0","28.0","0.0","1","","",NA,"48.7","20.6","1021261"
"CAMPBELL RIVER STP","50.017","-125.233","BC","17.2","3",NA,"29.5","1","9.5","3","0.0","0",NA,"12.6","0",NA,"0.0","1","","",NA,"35.0","13.6","1021265"
"CAMPBELL RIVER SURFSIDE","49.946","-125.208","BC","17.0","7",NA,"30.0","7","6.0","7","0.0","0",NA,"19.6","0","50.0","0.0","1","","",NA,"33.6","10.5","1021266"
"CAPE MUDGE","49.998","-125.195","BC","17.2","0","0.0","29.6","0","8.7","0","0.0","0",NA,"12.8","0","28.0","0.0","1","","",NA,"39.2","13.6","1021330"
"CHATHAM POINT","50.333","-125.433","BC","16.0","0","0.1","27.2","0","9.6","0","0.0","0",NA,"18.0","0","22.0","0.0","2","","",NA,"64.7","4.2","1021480"
"COAL HARBOUR RUPERT IN","50.600","-127.500","BC","15.4","0",NA,"29.5","0","6.0","0","0.0","0",NA,"21.8","0",NA,"0.0","2","","",NA,"84.7","3.9","1021737"
"COMOX A","49.717","-124.900","BC","17.6","0","-0.3","29.6","0","9.1","0","0.0","0",NA,"10.4","0","36.0","0.0","2","","",NA,"27.2","14.9","1021830"
"COMOX PCC","49.686","-125.033","BC","16.5","7",NA,"30.5","4","6.0","4","0.0","0",NA,"6.3","0",NA,"0.0","1","","",NA,"42.3","5.8","1021838"
"COOMBS","49.306","-124.427","BC","17.2","0","0.0","31.0","0","5.0","0","0.0","0",NA,"8.2","0","24.0","0.0","2","","",NA,"37.1","10.8","1021850"
"CORTES ISLAND","50.083","-125.033","BC","18.0","0",NA,"29.0","0","10.5","0","0.0","0",NA,"7.4","0",NA,"0.0","2","","",NA,"19.6","20.5","1021950"
"COURTENAY GRANTHAM","49.760","-124.997","BC","17.4","0",NA,"31.0","0","6.0","0","0.0","0",NA,"10.2","0",NA,"0.0","1","","",NA,"39.5","19.8","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.049","BC","17.5","2",NA,"32.0","1","6.0","1","0.0","0",NA,"13.0","0",NA,"0.0","2","","",NA,"28.5","14.4","1021989"
"DENMAN ISLAND EAST SHORE","49.517","-127.483","BC","16.1","0",NA,"27.0","0","6.5","0","0.0","0",NA,"13.9","0",NA,"0.0","1","","",NA,"59.5","2.0","1022433"
"DUNCAN BAY","50.067","-125.283","BC","",,NA,"",,"",,"0.0","0",NA,"13.6","0",NA,"0.0","1","","",NA,"","","1022560"
"GABRIOLA ISLAND","49.154","-123.734","BC","17.1","0","0.2","29.0","0","5.0","0","0.0","0",NA,"7.6","0","29.0","0.0","2","","",NA,"47.3","18.2","1023042"
"HERIOT BAY SE","50.091","-125.204","BC","16.8","0",NA,"28.0","0","7.5","0","0.0","0",NA,"16.0","0",NA,"0.0","1","","",NA,"47.0","10.1","1023462"
"HILLIERS","49.300","-124.500","BC","",,NA,"",,"",,"0.0","0",NA,"9.1","0",NA,"0.0","2","","",NA,"","","1023471"
"LITTLE QUALICUM HATCHERY","49.353","-124.512","BC","16.4","0","-0.1","30.0","0","5.0","0","0.0","0",NA,"9.4","0","30.0","0.0","2","","",NA,"56.1","5.1","1024638"
"MUD BAY","49.471","-124.794","BC","17.2","0","-0.2","29.5","0","7.5","0","0.0","0",NA,"11.0","0","29.0","0.0","2","","",NA,"36.1","11.5","1025240"
