Environment Canada
Monthly Values for May - 2002

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CENTRAL SAANICH ISL VIEW","48.573","-123.392","BC","",,NA,"",,"",,"0.0","0",NA,"24.4","0","64.0","0.0","8","","",NA,"","","10114F6"
"CHEMAINUS","48.934","-123.741","BC","12.0","0",NA,"23.0","0","1.5","0","0.0","0",NA,"24.7","0",NA,"0.0","5","","",NA,"184.7","0.0","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","10.5","0","-1.5","24.0","0","-0.5","0","0.0","0","0.0","61.2","0","71.0","0.0","12","","",NA,"233.5","0.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","10.1","0","-2.0","22.0","0","-1.0","0","0.0","0","0.0","47.8","0","56.0","0.0","9","","",NA,"244.8","0.0","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","11.6","0",NA,"21.0","0","4.5","0","",,NA,"",,NA,"","","","",NA,"197.5","0.0","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","10.8","0","-1.5","24.0","0","-1.5","0","0.4","0","######","19.8","0","40.0","0.0","7","","",NA,"222.8","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","10.8","0",NA,"22.4","0","3.1","0","",,NA,"22.2","0",NA,"","8","","",NA,"223.8","0.0","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","11.2","0",NA,"23.5","0","-0.5","0","0.0","0",NA,"29.0","0",NA,"0.0","8","","",NA,"210.4","0.0","1013051"
"GALIANO NORTH","48.985","-123.574","BC","10.7","0",NA,"20.0","0","1.0","0","0.0","0",NA,"24.8","0",NA,"0.0","8","","",NA,"227.0","0.0","10130MN"
"HONEYMOON BAY NORTHWEST","48.831","-124.194","BC","",,NA,"",,"",,"0.0","0",NA,"75.4","0",NA,"0.0","13","","",NA,"","","1013519"
"MALAHAT","48.575","-123.530","BC","10.3","0",NA,"21.8","0","-0.7","0","",,NA,"21.0","0",NA,"","11","",,NA,"237.6","0.0","1014820"
"MAYNE ISLAND","48.845","-123.320","BC","11.1","0","-1.0","21.5","0","1.0","0","0.0","0",NA,"27.2","0","62.0","0.0","8","","",NA,"213.0","0.0","1014931"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"31.2","0","78.0","0.0","11","","",NA,"","","1015105"
"MILL BAY 1 SOUTHWEST","48.645","-123.558","BC","",,NA,"",,"",,"0.0","0",NA,"23.6","0",NA,"0.0","6","","",NA,"","","1015136"
"NORTH COWICHAN","48.825","-123.720","BC","",,NA,"",,"",,"0.0","0",NA,"23.1","0","46.0","0.0","5","","",NA,"","","1015628"
"NORTH PENDER ISLAND","48.813","-123.317","BC","11.1","0",NA,"21.5","0","1.5","0","0.0","0",NA,"25.6","0",NA,"0.0","6","","",NA,"213.2","0.0","1015638"
"POINT-NO-POINT","48.406","-123.991","BC","10.1","0",NA,"19.5","0","1.5","0","0.0","0",NA,"60.8","0",NA,"0.0","15","","",NA,"244.5","0.0","1016203"
"PORT RENFREW","48.591","-124.326","BC","9.6","0","-1.4","22.0","0","0.5","0","0.0","0","0.0","147.2","0","95.0","0.0","15","","",NA,"259.5","0.0","1016335"
"SAANICHTON CDA","48.622","-123.419","BC","11.2","0","-1.1","22.0","0","2.0","0","0.0","0",NA,"27.3","0","66.0","0.0","10","","",NA,"211.6","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","13.0","2","0.0","22.0","0","2.0","2","0.0","0",NA,"23.8","0","55.0","0.0","7","","",NA,"146.1","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","0",NA,"24.8","0","62.0","0.0","8","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.772","-123.114","BC","10.4","0","-1.6","21.5","0","1.0","0","0.0","0",NA,"35.6","0","82.0","0.0","8","","",NA,"234.8","0.0","1017098"
