Environment Canada
Monthly Values for January - 2000

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"45.6","0","225.0","192.2","0","75.0","1.0","22","","",NA,"","","1017563"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","4.7","0",NA,"9.7","0","-0.1","0","",,NA,"59.4","0",NA,"","13","",,NA,"412.6","0.0","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"14.9","0","108.0","126.2","0","71.0","0.0","18","","",NA,"","","1018605"
"VICTORIA GONZALES HTS","48.413","-123.325","BC","4.9","0",NA,"9.5","0","0.3","0","",,NA,"66.0","0",NA,"","14","","",NA,"405.9","0.0","1018610"
"VICTORIA GONZALES CS","48.413","-123.325","BC","4.9","0",NA,"9.5","0","0.3","0","",,NA,"66.6","0",NA,"","14","",,NA,"405.9","0.0","1018611"
"VICTORIA HIGHLAND","48.509","-123.508","BC","2.2","0","-0.9","10.0","0","-2.0","0","30.6","0","200.0","142.6","0","73.0","0.0","21","","",NA,"489.9","0.0","1018616"
"VICTORIA HOLLAND 2","48.484","-123.406","BC","",,NA,"",,"",,"5.4","0",NA,"98.7","0",NA,"0.0","16","","",NA,"","","1018617"
"VICTORIA INT'L A","48.647","-123.426","BC","3.8","0","-0.8","9.4","0","-3.0","0","9.8","0","90.0","125.6","0","88.0","0.0","19","91.6","0","129.0","441.6","0.0","1018620"
"VICTORIA TILLICUM","48.450","-123.392","BC","",,NA,"",,"",,"3.2","0",NA,"104.6","0",NA,"0.0","18","","",NA,"","","1018660"
"WILLIAM HEAD","48.340","-123.532","BC","5.0","0","-0.7","10.0","0","0.0","0","3.0","1",NA,"118.3","1",NA,"0.0","20","","",NA,"403.7","0.0","1018935"
"VICTORIA HARTLAND CS","48.534","-123.459","BC","5.1","0",NA,"10.7","0","0.5","0","",,NA,"126.8","0",NA,"","16","","",NA,"400.5","0.0","1018FJ5"
"VICTORIA PHYLLIS STREET","48.455","-123.267","BC","5.4","0",NA,"10.0","0","0.5","0","3.0","0",NA,"67.6","0",NA,"0.0","14","","",NA,"389.3","0.0","101HFEE"
"BALLENAS ISLAND","49.350","-124.160","BC","",,NA,"",,"-1.6","15","",,NA,"95.8","0",NA,"","19","","",NA,"","","1020590"
"BLACK CREEK","49.846","-125.133","BC","1.8","0","-0.9","7.0","0","-6.0","0","42.0","0","243.0","209.1","0","90.0","8.0","22","","",NA,"501.3","0.0","1020880"
"CAMPBELL RIVER A","49.951","-125.271","BC","1.2","0","-1.2","6.9","0","-7.1","0","74.6","0","320.0","156.8","0","72.0","8.0","20","","",NA,"520.9","0.0","1021261"
"CAMPBELL RIVER SURFSIDE","49.945","-125.208","BC","",,NA,"",,"",,"37.0","0","280.0","144.8","0","73.0","0.0","16","","",NA,"","","1021266"
"CAPE MUDGE","49.998","-125.195","BC","4.4","26","0.4","8.3","0","-0.8","26","25.0","0","181.0","198.2","0","87.0","0.0","23","","",NA,"67.9","0.0","1021330"
"CHATHAM POINT","50.333","-125.433","BC","3.0","0","-1.1","7.9","0","-1.0","0","57.0","0","406.0","201.7","0","68.0","0.0","21","","",NA,"465.1","0.0","1021480"
"COMOX A","49.717","-124.900","BC","2.6","0","-1.3","9.0","0","-3.6","0","38.0","0","318.0","123.4","0","72.0","0.0","17","72.5","0","125.0","477.6","0.0","1021830"
"COMOX PCC","49.686","-125.033","BC","1.8","16",NA,"8.5","10","-3.0","14","34.6","0",NA,"131.2","0",NA,"","13","","",NA,"243.4","0.0","1021838"
"COOMBS","49.306","-124.429","BC","1.2","0","-1.6","9.5","0","-5.5","0","32.0","0","238.0","119.4","0","68.0","4.0","21","","",NA,"520.3","0.0","1021850"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","2.3","0",NA,"7.5","0","-4.0","0","33.8","0",NA,"107.3","0",NA,"0.0","20","","",NA,"488.2","0.0","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","2.1","7",NA,"7.5","5","-3.0","5","50.0","0",NA,"163.0","0",NA,"10.0","16","","",NA,"381.9","0.0","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","2.1","17",NA,"10.0","9","-5.0","12","38.6","0",NA,"158.5","0",NA,"","17","","",NA,"222.7","0.0","1021989"
"DUNCAN GLENORA","48.756","-123.765","BC","1.7","0",NA,"7.5","0","-4.5","0","40.1","0",NA,"201.1","0",NA,"","23","","",NA,"505.3","0.0","1022571"
"ENTRANCE ISLAND CS","49.217","-123.800","BC","4.9","7",NA,"10.7","6","0.7","6","",,NA,"62.6","11",NA,"","12","",,NA,"314.3","0.0","1022689"
"GABRIOLA ISLAND","49.154","-123.734","BC","2.5","0","-1.4","10.5","0","-4.0","0","14.5","0","140.0","147.1","0","100.0","0.0","16","","",NA,"480.1","0.0","1023042"
"HERIOT BAY SE","50.099","-125.203","BC","2.7","1",NA,"8.5","1","-2.5","0","35.4","0",NA,"148.9","0",NA,"0.0","20","","",NA,"460.3","0.0","1023462"
"LITTLE QUALICUM HATCHERY","49.353","-124.512","BC","2.3","0","-0.9","10.0","0","-4.5","0","21.3","0","183.0","126.5","0","76.0","","16","","",NA,"487.8","0.0","1024638"
"MUD BAY","49.471","-124.794","BC","1.4","0","-2.0","8.5","0","-5.0","0","43.9","0","340.0","129.8","0","48.0","8.0","19","","",NA,"513.4","0.0","1025240"
"MYRA CREEK","49.576","-125.605","BC","-0.1","18",NA,"6.0","12","-5.5","12","132.0","0",NA,"254.0","0",NA,"","14","","",NA,"235.1","0.0","1025254"
"NANAIMO A","49.052","-123.870","BC","2.7","0","-0.8","10.3","0","-5.1","0","43.0","0","205.0","181.4","0","97.0","0.0","20","0.0","30.9583333333333333333333333333333333333",NA,"473.8","0.0","1025370"
"NANOOSE BAY SOUTH","49.252","-124.177","BC","",,NA,"",,"",,"37.0","0","164.0","154.4","0","83.0","0.0","17","","",NA,"","","1025377"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"24.0","0","178.0","163.3","0","88.0","","15","","",NA,"","","10253G0"
"OYSTER RIVER UBC","49.883","-125.133","BC","1.9","2","-1.4","7.0","2","-5.0","1","33.0","0","221.0","138.0","0","70.0","","15","","",NA,"467.3","0.0","1025915"
"PINE ISLAND","50.976","-127.728","BC","4.4","0","-1.2","10.0","0","-1.0","0","0.0","10",NA,"96.2","10",NA,"0.0","9","","",NA,"422.9","0.0","1026170"
"PORT HARDY A","50.680","-127.366","BC","2.9","0","-1.2","9.3","0","-3.7","0","36.7","0","295.0","134.1","0","54.0","0.0","21","66.1",".04166666666666666666666666666666666667",NA,"466.6","0.0","1026270"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","3.1","0","-0.8","9.0","0","-2.5","0","21.0","0","202.0","135.2","0","64.0","0.0","18","","",NA,"461.8","0.0","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","1.8","2","-1.0","8.0","1","-5.0","2","34.8","0","235.0","134.9","0","58.0","0.0","22","","",NA,"470.8","0.0","1026639"
"SAYWARD 2","50.325","-125.930","BC","",,NA,"",,"",,"28.0","0",NA,"147.5","0",NA,"","18","","",NA,"","","1027114"
"SISTERS ISLAND","49.487","-124.435","BC","5.0","0",NA,"10.8","0","1.1","0","",,NA,"",,NA,"","","",,NA,"403.7","0.0","1027403"
"ENTRANCE ISLAND","49.217","-123.800","BC","4.9","0",NA,"11.0","0","0.0","0","6.4","0",NA,"148.0","0",NA,"0.0","19","","",NA,"407.6","0.0","102BFHH"
"COURTENAY MEADOWBROOK","49.717","-124.977","BC","1.6","0","-1.4","7.5","0","-6.0","0","37.6","0","237.0","138.0","0","60.0","6.0","19","","",NA,"509.8","0.0","102JR88"
"STUART CHANNEL BOAT HARBOUR","49.091","-123.799","BC","3.5","0",NA,"10.5","0","-3.5","0","11.0","0",NA,"151.0","0",NA,"0.0","17","","",NA,"451.0","0.0","102PG75"
"ALBERNI ROBERTSON CREEK","49.337","-124.982","BC","1.5","0","-0.5","7.5","0","-2.5","0","66.4","0","294.0","207.0","0","61.0","14.0","21","","",NA,"510.8","0.0","1030230"
"CAPE BEALE LIGHT","48.786","-125.216","BC","5.0","0","-0.9","9.0","0","-0.5","0","0.0","3",NA,"285.0","3",NA,"0.0","23","","",NA,"404.4","0.0","1031316"
"CAPE SCOTT","50.782","-128.427","BC","4.3","0","-1.4","12.8","0","-0.5","0","49.8","0","810.0","206.4","0","64.0","0.0","22","","",NA,"423.8","0.0","1031353"
"CARMANAH POINT","48.612","-124.751","BC","",,NA,"",,"",,"42.4","0","533.0","372.0","0","85.0","0.0","25","","",NA,"","","1031402"
"CONUMA RIVER HATCHERY","49.800","-126.417","BC","",,NA,"",,"",,"63.5","0","477.0","345.8","0","66.0","12.0","21","","",NA,"","","1031844"
"ESTEVAN POINT","49.384","-126.551","BC","4.7","0","-1.2","10.0","0","-1.0","0","20.8","0","######","341.6","0","75.0","0.0","25","79.9","0","129.0","411.9","0.0","1032730"
