Environment Canada
Monthly Values for May - 1995

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"ACTIVE PASS","48.867","-123.283","BC","",,NA,"",,"",,"0.0","0",NA,"10.1","0",NA,"0.0","4","","",NA,"","","1010066"
"BRENTWOOD BAY 2","48.600","-123.467","BC","",,NA,"",,"",,"0.0","0",NA,"14.7","0",NA,"0.0","4","","",NA,"","","1010960"
"CENTRAL SAANICH ISL VIEW","48.571","-123.373","BC","",,NA,"",,"",,"0.0","0",NA,"12.6","0","33.0","0.0","4","","",NA,"","","10114F6"
"CHEMAINUS","48.935","-123.742","BC","15.5","0",NA,"27.0","0","5.5","0","0.0","0",NA,"14.0","0",NA,"0.0","3","","",NA,"84.2","6.4","1011500"
"COLWOOD HATLEY DR","48.418","-123.481","BC","",,NA,"",,"",,"0.0","0",NA,"13.4","0","34.0","0.0","3","","",NA,"","","1011810"
"CORDOVA BAY SOUTH","48.517","-123.367","BC","13.0","11",NA,"25.0","10","6.5","10","0.0","0",NA,"12.0","0",NA,"0.0","3","","",NA,"99.2","0.0","1011922"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","",,NA,"",,"",,"0.0","0",NA,"12.8","0",NA,"0.0","3","","",NA,"","","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","14.4","0","2.4","28.5","0","2.0","0","0.0","0","0.0","23.0","0","27.0","0.0","4","265.1","0","153.0","112.8","0.8","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","15.4","0","3.3","32.0","0","2.0","0","0.0","0","0.0","35.1","0","41.0","0.0","6","","",NA,"90.0","8.5","1012055"
"DUNCAN KELVIN CREEK","48.733","-123.726","BC","14.2","0","1.8","29.5","0","1.5","0","0.0","0","0.0","19.3","0","39.0","0.0","4","","",NA,"119.1","1.1","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","13.6","0",NA,"23.3","0","6.4","0","",,NA,"8.0","0",NA,"","4","","",NA,"135.2","0.0","1012710"
"GANGES MANSELL RD","48.872","-123.497","BC","14.8","0",NA,"28.5","0","4.5","0","0.0","0",NA,"11.8","0",NA,"0.0","4","","",NA,"102.6","3.3","1013051"
"GALIANO NORTH","48.985","-123.574","BC","14.8","0",NA,"25.5","0","6.0","0","0.0","0",NA,"13.6","0",NA,"0.0","4","","",NA,"99.2","1.3","10130MN"
