Environment Canada
Monthly Values for May - 2003

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CENTRAL SAANICH ISL VIEW","48.573","-123.392","BC","",,NA,"",,"",,"0.0","0",NA,"23.2","0","61.0","0.0","8","","",NA,"","","10114F6"
"CHEMAINUS","48.934","-123.741","BC","12.7","0",NA,"23.0","0","3.5","0","0.0","0",NA,"21.7","0",NA,"0.0","7","","",NA,"163.0","0.0","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","11.2","0","-0.7","23.0","0","0.0","0","0.0","0","0.0","37.4","0","43.0","0.0","13","","",NA,"209.3","0.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","11.3","0","-0.8","24.5","0","-0.5","0","0.0","0","0.0","40.5","0","47.0","0.0","11","","",NA,"207.5","0.0","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","12.5","0",NA,"21.5","0","7.0","0","",,NA,"",,NA,"","","","",NA,"170.8","0.0","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","11.3","0","-1.1","25.0","0","-0.5","0","0.0","0","0.0","35.0","0","71.0","0.0","9","","",NA,"208.1","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","11.8","0",NA,"21.0","0","4.2","0","",,NA,"24.8","0",NA,"","6","","",NA,"190.8","0.0","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","11.7","0",NA,"23.5","0","2.0","0","0.0","0",NA,"28.0","0",NA,"0.0","9","","",NA,"194.1","0.0","1013051"
"GALIANO NORTH","48.985","-123.574","BC","10.9","0",NA,"20.0","0","2.0","0","0.0","0",NA,"22.2","0",NA,"0.0","8","","",NA,"220.7","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","11.1","0",NA,"22.8","0","1.6","0","",,NA,"55.6","0",NA,"","10","",,NA,"213.1","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"26.0","0","65.0","0.0","6","","",NA,"","","1015105"
"MILL BAY 1 SOUTHWEST","48.645","-123.558","BC","",,NA,"",,"",,"0.0","0",NA,"36.8","0",NA,"0.0","11","","",NA,"","","1015136"
"NORTH COWICHAN","48.825","-123.720","BC","",,NA,"",,"",,"0.0","0",NA,"22.0","0","44.0","0.0","6","","",NA,"","","1015628"
"NORTH PENDER ISLAND","48.813","-123.317","BC","12.2","0",NA,"22.0","0","3.0","0","0.0","0",NA,"33.7","0",NA,"0.0","7","","",NA,"179.9","0.0","1015638"
"POINT-NO-POINT","48.406","-123.991","BC","11.0","0",NA,"19.5","0","3.5","0","0.0","0",NA,"53.2","0",NA,"0.0","12","","",NA,"215.5","0.0","1016203"
"PORT RENFREW","48.591","-124.326","BC","10.5","0","-0.6","20.0","0","0.5","0","0.0","0","0.0","106.4","0","69.0","0.0","13","","",NA,"233.9","0.0","1016335"
"SAANICHTON CDA","48.622","-123.419","BC","11.9","0","-0.3","21.5","0","3.0","0","0.0","0",NA,"21.8","0","53.0","0.0","7","","",NA,"187.9","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","12.3","0","-0.6","23.0","0","3.5","0","0.0","0",NA,"21.0","0","49.0","0.0","9","","",NA,"175.2","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","0",NA,"23.0","0","57.0","0.0","7","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.772","-123.114","BC","11.3","0","-0.8","20.5","0","2.5","0","0.0","0",NA,"19.0","0","44.0","0.0","8","","",NA,"208.6","0.0","1017098"
"SHAWNIGAN LAKE","48.647","-123.627","BC","11.9","0","-0.3","23.0","0","2.0","0","0.0","0",NA,"33.8","0","67.0","0.0","11","","",NA,"190.1","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","10.7","0",NA,"19.0","0","3.5","0","",,NA,"32.0","0",NA,"","8","",,NA,"227.0","0.0","1017254"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"0.0","0","0.0","33.4","0","60.0","0.0","8","","",NA,"","","1017563"
