Environment Canada
Monthly Values for June - 2004

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CENTRAL SAANICH ISL VIEW","48.573","-123.392","BC","",,NA,"",,"",,"0.0","0",NA,"17.4","0","57.0","0.0","5","","",NA,"","","10114F6"
"CHEMAINUS","48.934","-123.741","BC","17.9","0",NA,"31.0","0","8.0","0","0.0","0",NA,"25.2","0",NA,"0.0","4","","",NA,"41.5","39.4","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","16.5","0","1.7","31.5","0","5.5","0","0.0","0",NA,"37.6","0","65.0","0.0","5","","",NA,"65.9","22.1","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","16.7","10","1.8","33.0","5","4.5","5","0.0","0",NA,"33.4","0","58.0","0.0","4","","",NA,"41.4","16.2","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","15.6","0",NA,"29.0","0","10.5","0","",,NA,"",,NA,"","","","",NA,"80.4","9.4","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","16.6","0","1.4","32.0","0","4.0","0","0.0","0",NA,"21.8","0","59.0","0.0","3","","",NA,"60.7","19.4","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","15.7","0",NA,"28.2","0","8.6","0","",,NA,"14.4","0",NA,"","4","","",NA,"75.7","6.4","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","19.2","15",NA,"32.0","15","6.0","13","0.0","0",NA,"17.0","0",NA,"0.0","3","","",NA,"4.0","21.7","1013051"
"GALIANO NORTH","48.985","-123.574","BC","16.4","0",NA,"30.0","0","7.5","0","0.0","0",NA,"19.4","0",NA,"0.0","4","","",NA,"62.2","15.1","10130MN"
"MALAHAT","48.575","-123.530","BC","16.8","0",NA,"31.0","0","5.3","0","",,NA,"28.6","0",NA,"","5","",,NA,"75.9","40.4","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"20.2","0","72.0","0.0","3","","",NA,"","","1015105"
"MILL BAY 1 SOUTHWEST","48.645","-123.558","BC","",,NA,"",,"",,"0.0","0",NA,"20.6","0",NA,"0.0","3","","",NA,"","","1015136"
"NORTH COWICHAN","48.825","-123.720","BC","",,NA,"",,"",,"0.0","0",NA,"21.8","0","58.0","0.0","3","","",NA,"","","1015628"
"NORTH PENDER ISLAND","48.813","-123.317","BC","16.9","0",NA,"31.0","0","6.5","0","0.0","0",NA,"20.3","0",NA,"0.0","4","","",NA,"53.5","19.3","1015638"
"POINT-NO-POINT","48.406","-123.991","BC","14.1","0",NA,"29.5","0","7.5","0","0.0","0",NA,"35.8","0",NA,"0.0","5","","",NA,"123.5","6.1","1016203"
"PORT RENFREW","48.591","-124.326","BC","14.4","0","1.0","30.0","0","5.5","0","0.0","0",NA,"71.0","0","66.0","0.0","7","","",NA,"112.4","4.3","1016335"
"SAANICHTON CDA","48.622","-123.419","BC","16.2","0","1.3","30.5","0","7.0","0","0.0","0",NA,"22.6","0","65.0","0.0","4","","",NA,"67.3","14.2","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","17.4","0","1.5","29.5","0","7.0","0","0.0","0",NA,"24.0","0","64.0","0.0","4","","",NA,"50.3","30.8","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","0",NA,"21.0","0","63.0","0.0","4","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.772","-123.114","BC","16.3","0","1.8","29.0","0","7.5","0","0.0","0",NA,"18.4","0","49.0","0.0","4","","",NA,"74.4","23.2","1017098"
"SATURNA ISLAND CS","48.784","-123.045","BC","17.8","2",NA,"28.1","2","10.9","0","",,NA,"",,NA,"","","",,NA,"30.8","25.1","1017101"
"SHAWNIGAN LAKE","48.647","-123.627","BC","16.8","0","1.7","31.5","0","6.0","0","0.0","0",NA,"16.0","0","40.0","0.0","2","","",NA,"59.0","22.5","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","13.9","0",NA,"29.8","0","9.5","0","",,NA,"26.6","0",NA,"","4","",,NA,"129.4","6.0","1017254"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"0.0","0","0.0","29.2","0","68.0","0.0","5","","",NA,"","","1017563"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","16.6","0",NA,"30.4","0","5.5","0","",,NA,"8.6","0",NA,"","4","",,NA,"58.3","16.4","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","0",NA,"15.5","0","51.0","0.0","3","","",NA,"","","1018605"
"VICTORIA GONZALES HTS","48.413","-123.325","BC","15.7","0",NA,"32.3","0","7.9","0","",,NA,"9.2","0",NA,"","4","","",NA,"81.5","13.7","1018610"
"VICTORIA GONZALES CS","48.413","-123.325","BC","15.7","0",NA,"32.3","0","7.9","0","",,NA,"9.2","0",NA,"","4","",,NA,"81.5","13.7","1018611"
"VICTORIA HIGHLAND","48.509","-123.508","BC","16.3","2","1.5","31.0","1","4.5","1","0.0","0",NA,"20.0","0","60.0","0.0","3","","",NA,"65.5","18.7","1018616"
"VICTORIA INT'L A","48.647","-123.426","BC","16.2","0","1.4","32.3","0","6.8","0","0.0","0",NA,"23.4","0","77.0","0.0","5","273.7","3",NA,"64.7","12.0","1018620"
"WILLIAM HEAD","48.340","-123.532","BC","16.1","0","1.5","28.0","0","8.0","0","0.0","0",NA,"19.2","0","68.0","0.0","5","","",NA,"63.7","7.5","1018935"
