Environment Canada
Monthly Values for May - 2014

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CHEMAINUS","48.935","-123.742","BC","14.7","0",NA,"25.0","0","6.5","0","0.0","0",NA,"48.9","0",NA,"0.0","7","","",NA,"105.3","2.3","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","13.4","0","1.3","29.0","0","3.5","0","0.0","0","0.0","54.2","0","63.0","0.0","7","","",NA,"144.0","1.3","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"21.1","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","13.3","0","1.0","26.5","0","4.0","0","0.0","0","0.0","58.4","0","119.0","0.0","9","","",NA,"144.2","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","13.6","0",NA,"24.2","0","6.3","0","",,NA,"23.2","0",NA,"","5","",,NA,"136.6","0.6","1012710"
"GALIANO NORTH","48.985","-123.573","BC","14.3","4",NA,"24.0","4","7.0","4","0.0","4",NA,"44.8","4",NA,"0.0","7","","",NA,"100.3","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","13.3","0",NA,"23.6","0","5.6","0","",,NA,"47.0","0",NA,"","9","",,NA,"149.8","3.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"33.6","0","84.0","0.0","5","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0",NA,"162.8","0","322.0","0.0","9","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","14.0","0",NA,"27.4","0","4.0","0","",,NA,"49.7","0",NA,"","10","",,NA,"126.2","1.5","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","14.5","3",NA,"26.0","3","6.0","3","0.0","3",NA,"36.0","3",NA,"0.0","6","","",NA,"103.8","4.6","1015638"
"RACE ROCKS","48.298","-123.531","BC","12.5","0",NA,"23.2","0","8.4","0","",,NA,"",,NA,"","","",,NA,"169.3","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","13.6","3","1.3","23.5","3","5.5","3","0.0","3",NA,"32.8","3",NA,"0.0","5","","",NA,"125.6","2.1","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","15.1","3","2.1","24.5","3","7.5","3","0.0","3",NA,"42.6","3",NA,"0.0","6","","",NA,"82.3","0.5","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","28",NA,"15.6","28",NA,"","3","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.775","-123.128","BC","13.5","0","1.4","24.6","0","5.4","0","0.0","0",NA,"45.4","0","105.0","0.0","7","","",NA,"144.4","4.1","1017098"
