Environment Canada
Monthly Values for September - 2000

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"0.0","0",NA,"28.4","0","69.0","0.0","4","","",NA,"","","1017563"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","14.6","0",NA,"24.7","0","4.4","0","",,NA,"19.0","0",NA,"","5","",,NA,"103.0","1.7","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","0",NA,"27.2","0","95.0","0.0","4","","",NA,"","","1018605"
"VICTORIA GONZALES HTS","48.413","-123.325","BC","14.8","0",NA,"25.7","0","7.6","0","",,NA,"20.6","0",NA,"","4","","",NA,"97.9","1.4","1018610"
"VICTORIA GONZALES CS","48.413","-123.325","BC","14.8","0",NA,"25.7","0","7.6","0","",,NA,"20.6","0",NA,"","4","",,NA,"97.3","1.4","1018611"
"VICTORIA HIGHLAND","48.509","-123.508","BC","13.9","0","-0.4","26.5","0","2.0","0","0.0","0",NA,"30.8","0","84.0","0.0","4","","",NA,"125.3","2.0","1018616"
"VICTORIA HOLLAND 2","48.484","-123.406","BC","",,NA,"",,"",,"0.0","0",NA,"24.5","0",NA,"0.0","4","","",NA,"","","1018617"
"VICTORIA INT'L A","48.647","-123.426","BC","14.2","0","0.0","27.3","0","3.8","0","0.0","0",NA,"20.4","0","66.0","0.0","5","198.1","0","87.0","116.6","2.4","1018620"
"WILLIAM HEAD","48.340","-123.532","BC","14.4","0","0.5","23.0","0","6.5","0","0.0","0",NA,"23.0","0","73.0","0.0","4","","",NA,"107.4","0.3","1018935"
"VICTORIA HARTLAND CS","48.534","-123.459","BC","15.5","0",NA,"27.7","0","6.9","0","",,NA,"26.8","0",NA,"","5","","",NA,"80.3","5.2","1018FJ5"
"VICTORIA PHYLLIS STREET","48.455","-123.267","BC","13.8","0",NA,"23.0","0","6.0","0","0.0","0",NA,"23.5","0",NA,"0.0","4","","",NA,"127.3","0.0","101HFEE"
"BALLENAS ISLAND","49.350","-124.160","BC","16.2","0",NA,"30.7","0","4.7","0","",,NA,"24.8","0",NA,"","3","","",NA,"56.8","2.6","1020590"
"BLACK CREEK","49.846","-125.133","BC","13.5","0","-0.1","24.5","0","0.5","0","0.0","0",NA,"37.2","0","69.0","0.0","9","","",NA,"136.0","0.0","1020880"
"CAMPBELL RIVER A","49.951","-125.271","BC","13.4","0","-0.4","25.3","0","-0.1","0","0.0","0",NA,"36.2","0","66.0","0.0","10","","",NA,"138.5","0.0","1021261"
"CAMPBELL RIVER SURFSIDE","49.945","-125.208","BC","",,"","",,"",,"0.0","0",NA,"24.0","0","45.0","0.0","6","","",NA,"","","1021266"
"CAPE MUDGE","49.998","-125.195","BC","14.2","0","0.0","21.8","0","4.8","0","0.0","0",NA,"37.6","0","64.0","0.0","10","","",NA,"113.3","0.0","1021330"
"CHATHAM POINT","50.333","-125.433","BC","13.3","0","0.0","21.5","0","6.0","0","0.0","0",NA,"86.5","0","86.0","0.0","12","","",NA,"139.6","0.0","1021480"
"COMOX A","49.717","-124.900","BC","14.4","0","0.0","23.0","0","3.9","0","0.0","0",NA,"20.0","0","48.0","0.0","4","205.1",".04166666666666666666666666666666666667",NA,"107.3","0.0","1021830"
"COMOX PCC","49.686","-125.033","BC","13.9","14",NA,"24.0","10","3.5","13","0.0","0",NA,"15.4","2",NA,"0.0","5","","",NA,"65.3","0.0","1021838"
"COOMBS","49.306","-124.429","BC","14.2","0","0.4","26.0","0","0.0","0","0.0","0",NA,"26.2","0","67.0","0.0","8","","",NA,"114.6","0.0","1021850"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","14.5","2",NA,"24.0","2","1.5","1","0.0","0",NA,"37.9","0",NA,"0.0","7","","",NA,"99.1","0.0","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","14.6","8",NA,"24.0","5","5.5","4","0.0","0",NA,"18.8","0",NA,"0.0","7","","",NA,"74.8","0.3","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","",,NA,"",,"2.0","6","0.0","0",NA,"28.3","0",NA,"0.0","6","","",NA,"","","1021989"
"DUNCAN GLENORA","48.756","-123.765","BC","14.9","0",NA,"28.5","0","2.0","0","0.0","0",NA,"23.9","0",NA,"0.0","6","","",NA,"96.3","1.8","1022571"
"ENTRANCE ISLAND CS","49.217","-123.800","BC","14.9","0",NA,"21.5","0","11.0","0","",,NA,"17.2","0",NA,"","3","",,NA,"93.1","0.7","1022689"
"FANNY ISLAND","50.453","-125.992","BC","12.5","3",NA,"20.6","2","6.2","3","",,NA,"82.8","0",NA,"","12","",,NA,"149.7","0.0","1022795"
"GABRIOLA ISLAND","49.154","-123.734","BC","13.3","0","-0.6","23.5","0","0.0","0","0.0","0",NA,"20.0","0","59.0","0.0","5","","",NA,"142.6","1.0","1023042"
"HERIOT BAY SE","50.099","-125.203","BC","14.6","2",NA,"23.0","1","5.0","2","0.0","0",NA,"44.0","0",NA,"0.0","11","","",NA,"96.3","0.0","1023462"
"LITTLE QUALICUM HATCHERY","49.353","-124.512","BC","13.4","1","0.2","24.5","0","-0.5","1","0.0","0",NA,"30.0","0","74.0","0.0","7","","",NA,"132.1","0.0","1024638"
"MUD BAY","49.471","-124.794","BC","13.8","0","-0.2","25.5","0","2.5","0","0.0","0",NA,"23.3","0","43.0","0.0","5","","",NA,"125.1","0.0","1025240"
"MYRA CREEK","49.576","-125.605","BC","14.7","19",NA,"24.0","13","4.5","12","0.0","0",NA,"71.8","0",NA,"0.0","11","","",NA,"36.8","0.0","1025254"
"NANAIMO A","49.052","-123.870","BC","14.9","0","-0.1","30.3","0","3.5","0","0.0","0",NA,"21.4","0","60.0","0.0","5","180.4","0","84.0","98.6","4.8","1025370"
"NANOOSE BAY SOUTH","49.252","-124.177","BC","",,NA,"",,"",,"0.0","0",NA,"17.4","0","59.0","0.0","6","","",NA,"","","1025377"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0",NA,"17.2","0","47.0","0.0","5","","",NA,"","","10253G0"
"OYSTER RIVER UBC","49.883","-125.133","BC","13.8","0","0.2","22.0","0","5.0","0","0.0","0",NA,"22.0","0","45.0","0.0","9","","",NA,"125.6","0.0","1025915"
"PINE ISLAND","50.976","-127.728","BC","12.1","0","0.1","18.5","0","7.0","0","0.0","0",NA,"147.5","0","120.0","0.0","18","","",NA,"175.6","0.0","1026170"
"PORT HARDY A","50.680","-127.366","BC","11.9","0","-0.2","22.1","0","2.4","0","0.0","0",NA,"103.0","0","94.0","0.0","15","137.0","0","91.0","182.5","0.0","1026270"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","13.9","0","0.4","24.5","0","2.5","0","0.0","0",NA,"26.8","0","58.0","0.0","6","","",NA,"121.8","0.0","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","14.0","2","-0.2","24.0","1","0.5","2","0.0","0",NA,"39.2","0","66.0","0.0","9","","",NA,"112.7","0.0","1026639"
"SAYWARD 2","50.325","-125.930","BC","",,NA,"",,"",,"0.0","0",NA,"38.5","0",NA,"0.0","7","","",NA,"","","1027114"
"SISTERS ISLAND","49.487","-124.435","BC","15.7","0",NA,"22.8","0","11.3","0","",,NA,"",,NA,"","","",,NA,"70.2","1.1","1027403"
"ENTRANCE ISLAND","49.217","-123.800","BC","14.8","0",NA,"20.5","0","10.5","0","0.0","0",NA,"21.2","0",NA,"0.0","3","","",NA,"95.1","0.0","102BFHH"
"COURTENAY MEADOWBROOK","49.717","-124.977","BC","13.4","0","-0.8","25.0","0","0.5","0","0.0","0",NA,"16.4","0","36.0","0.0","5","","",NA,"137.5","0.0","102JR88"
"STUART CHANNEL BOAT HARBOUR","49.091","-123.799","BC","14.6","13",NA,"28.0","11","3.5","11","0.0","0",NA,"20.8","0",NA,"0.0","5","","",NA,"57.8","0.0","102PG75"
"ALBERNI ROBERTSON CREEK","49.337","-124.982","BC","14.9","1","-0.4","28.5","0","2.0","1","0.0","0",NA,"32.2","0","52.0","0.0","6","","",NA,"92.7","1.9","1030230"
"CAPE BEALE LIGHT","48.786","-125.216","BC","13.3","0","0.0","23.0","0","8.0","0","0.0","0",NA,"154.4","0","155.0","0.0","12","","",NA,"140.4","0.5","1031316"
"CAPE SCOTT","50.782","-128.427","BC","12.3","0","-0.4","19.5","0","6.6","0","0.0","0","0.0","120.6","0","82.0","0.0","14","","",NA,"169.6","0.0","1031353"
"CARMANAH POINT","48.612","-124.751","BC","",,NA,"",,"",,"0.0","0",NA,"161.3","0","145.0","0.0","8","","",NA,"","","1031402"
"CONUMA RIVER HATCHERY","49.800","-126.417","BC","",,NA,"",,"",,"0.0","0",NA,"194.3","0","138.0","0.0","14","","",NA,"","","1031844"
"ESTEVAN POINT","49.384","-126.551","BC","13.6","0","0.2","23.0","0","7.0","0","0.0","0",NA,"158.0","0","118.0","0.0","11","0.0","0","0.0","132.0","0.0","1032730"
"ESTEVAN POINT CS","49.383","-126.545","BC","15.6","0",NA,"25.5","0","8.6","0","",,NA,"166.0","0",NA,"","11","",,NA,"75.8","2.5","1032731"
"GOLD RIVER TOWNSITE","49.783","-126.048","BC","14.9","0","0.1","26.0","0","1.0","0","0.0","0",NA,"104.4","0","96.0","0.0","15","","",NA,"94.7","0.5","1033232"
"HENDERSON LAKE HATCHERY","49.133","-125.142","BC","13.9","1",NA,"25.5","0","1.0","1","0.0","0",NA,"307.2","0",NA,"0.0","13","","",NA,"117.5","0.0","1033456"
"LENNARD ISLAND","49.111","-125.923","BC","",,NA,"",,"",,"0.0","0",NA,"189.0","0","150.0","0.0","13","","",NA,"","","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","13.9","2","-0.6","27.5","1","0.5","1","0.0","0",NA,"156.6","0","120.0","0.0","8","","",NA,"115.6","1.8","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","14.5","0","-0.2","24.5","0","9.0","0","0.0","0",NA,"201.6","0","139.0","0.0","16","","",NA,"106.2","1.8","1035614"
"PACHENA POINT","48.723","-125.097","BC","11.7","0","-1.3","23.0","0","2.0","0","0.0","0",NA,"165.1","0","140.0","0.0","9","","",NA,"189.3","0.0","1035940"
"PORT ALBERNI COX LAKE","49.201","-124.756","BC","14.6","0","-0.6","28.5","0","-1.5","0","0.0","0",NA,"40.8","0","69.0","0.0","7","","",NA,"104.3","1.3","1036208"
"PORT ALICE","50.386","-127.453","BC","13.7","0","-0.5","20.5","0","5.0","0","0.0","0",NA,"96.6","0","74.0","0.0","14","","",NA,"130.3","0.0","1036240"
"QUATSINO","50.534","-127.653","BC","13.3","0","-0.5","20.5","0","4.5","0","0.0","0",NA,"120.4","0","99.0","0.0","15","","",NA,"139.7","0.0","1036570"
"QUATSINO LIGHTSTATION","50.441","-128.033","BC","13.5","0","-0.6","20.9","0","7.0","0","0.0","0",NA,"114.3","0","79.0","0.0","12","","",NA,"134.9","0.0","1036572"
"PORT ALBERNI (AUT)","49.317","-124.926","BC","15.2","0",NA,"28.1","0","0.4","0","",,NA,"26.0","0",NA,"","6","",,NA,"87.4","3.7","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","12.1","3",NA,"15.2","1","7.5","2","",,NA,"91.2","4",NA,"","11","",,NA,"160.1","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.940","BC","13.0","4",NA,"18.4","2","8.5","2","",,NA,"0.0","3",NA,"","0","",,NA,"131.3","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.933","-126.650","BC","15.1","10",NA,"25.0","6","5.0","10","0.0","0",NA,"285.1","0","157.0","0.0","11","","",NA,"61.1","2.5","1037899"
"TOFINO A","49.082","-125.773","BC","13.5","0","0.1","23.7","0","5.0","0","0.0","0",NA,"195.2","0","147.0","0.0","11","140.9","0","80.0","134.8","0.3","1038205"
"UCLUELET KENNEDY CAMP","48.945","-125.527","BC","13.6","0","-0.1","24.5","0","3.5","0","0.0","0",NA,"214.8","0","154.0","0.0","10","","",NA,"133.1","0.3","1038332"
"NITINAT LAKE (AUT)","48.667","-124.833","BC","12.9","8",NA,"23.4","5","8.1","6","",,NA,"14.4","20",NA,"","3","",,NA,"113.2","0.8","103EFJ0"
"BOWEN ISLAND BOWEN BAY","49.366","-123.421","BC","",,NA,"",,"",,"0.0","0",NA,"61.5","0",NA,"0.0","6","","",NA,"","","104090R"
"BOWEN ISLAND SUNSET PARK","49.360","-123.402","BC","",,NA,"",,"",,"0.0","0",NA,"80.2","0",NA,"0.0","7","","",NA,"","","104091B"
"BOWEN ISLAND MILLERS LDG","49.392","-123.328","BC","14.8","6",NA,"23.0","5","8.5","5","0.0","0",NA,"87.4","0",NA,"0.0","6","","",NA,"78.5","1.8","1040R09"
"GAMBIER HARBOUR","49.443","-123.433","BC","",,NA,"",,"",,"0.0","0",NA,"127.6","0","160.0","0.0","8","","",NA,"","","1043048"
"GIBSONS","49.397","-123.514","BC","15.2","0","0.1","23.0","0","7.5","0","0.0","0",NA,"86.9","0","144.0","0.0","9","","",NA,"85.1","1.8","1043150"
"GIBSONS GOWER POINT","49.386","-123.541","BC","15.0","0","-0.1","22.5","0","8.5","0","0.0","0",NA,"62.8","0","108.0","0.0","6","","",NA,"90.2","1.3","1043152"
"LOIS RIVER DAM","49.795","-124.318","BC","",,NA,"",,"",,"0.0","0",NA,"65.3","0","93.0","0.0","10","","",NA,"","","1044710"
"MALIBU JERVIS INLET","50.165","-123.853","BC","15.1","0","-0.3","22.0","0","8.5","0","0.0","0",NA,"146.4","0","135.0","0.0","15","","",NA,"87.7","0.8","1044840"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","15.5","0","0.3","21.7","0","10.3","0","0.0","0",NA,"39.9","0","82.0","0.0","8","195.5","0","91.0","75.8","0.8","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","16.1","0",NA,"23.2","0","9.7","0","",,NA,"70.8","0",NA,"","9","",,NA,"61.5","4.0","10459NN"
"POWELL RIVER","49.876","-124.554","BC","15.6","0","0.0","23.5","0","9.0","0","0.0","0",NA,"35.1","0","68.0","0.0","9","","",NA,"74.4","1.6","1046390"
"POWELL RIVER A","49.834","-124.500","BC","14.4","0","0.3","23.1","0","4.3","0","0.0","0",NA,"31.0","0","57.0","0.0","6","196.4","0","95.0","108.1","0.9","1046391"
"SECHELT 5WEST","49.474","-123.806","BC","13.2","0",NA,"22.0","0","3.0","0","0.0","0",NA,"39.2","0",NA,"0.0","5","","",NA,"144.7","0.0","1047179"
"SQUAMISH STP CENTRAL","49.698","-123.160","BC","15.0","0","0.0","29.5","0","3.0","0","0.0","0",NA,"113.6","0","137.0","0.0","6","","",NA,"94.1","4.8","1047671"
"SQUAMISH UPPER","49.896","-123.281","BC","14.6","0","0.0","29.0","0","0.5","0","0.0","0",NA,"105.4","0","140.0","0.0","9","","",NA,"106.0","2.6","1047672"
"SQUAMISH","49.783","-123.161","BC","14.5","0",NA,"28.3","0","2.6","0","",,NA,"114.4","0",NA,"","10","",,NA,"107.0","2.5","10476F0"
"STILLWATER POWER HOUSE","49.767","-124.317","BC","",,NA,"",,"",,"0.0","0",NA,"63.9","0","99.0","0.0","8","","",NA,"","","1047770"
"WHISTLER","50.129","-122.955","BC","12.7","0","0.0","25.2","0","-1.3","0","0.0","0",NA,"65.6","0","119.0","0.0","9","154.1","0","79.0","158.3","0.0","1048898"
"WOODFIBRE","49.581","-123.889","BC","14.8","17",NA,"25.0","11","5.5","10","0.0","0",NA,"122.4","0","119.0","0.0","6","","",NA,"41.9","0.0","1048974"
"CAPE ST JAMES CS","51.936","-131.016","BC","13.1","16",NA,"18.3","16","8.5","16","",,NA,"36.4","0",NA,"","6","",,NA,"69.2","0.0","1051351"
"KINDAKUN ROCKS (AUT)","53.316","-132.772","BC","12.0","3",NA,"16.8","1","8.2","2","",,NA,"0.0","3",NA,"","0","",,NA,"161.9","0.0","1054222"
"LANGARA","54.255","-133.058","BC","",,"","17.3","0","",,"0.0","0","0.0","194.0","0","102.0","0.0","17","",,NA,"","","1054500"
"LANGARA ISLAND CS","54.250","-133.050","BC","12.7","1",NA,"17.7","0","8.6","1","",,NA,"194.8","0",NA,"","18","",,NA,"153.5","0.0","1054503"
