Environment Canada
Monthly Values for May - 1984

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CENTRAL SAANICH VEYANESS","48.583","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"99.5","0",NA,"0.0","16","","",NA,"","","1011467"
"CENTRAL SAANICH ISL VIEW","48.571","-123.373","BC","",,NA,"",,"",,"0.0","0",NA,"80.4","0","212.0","0.0","14","","",NA,"","","10114F6"
"COLWOOD HATLEY DR","48.418","-123.481","BC","",,NA,"",,"",,"0.0","0",NA,"55.2","0","142.0","0.0","13","","",NA,"","","1011810"
"CORDOVA BAY SOUTH","48.517","-123.367","BC","10.4","1",NA,"21.0","1","3.0","0","0.0","0",NA,"82.7","0",NA,"0.0","18","","",NA,"227.9","0.0","1011922"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","9.6","0","-2.4","25.5","0","1.5","0","0.0","0","0.0","206.1","0","238.0","0.0","22","139.0","0","80.0","261.6","0.0","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","9.6","0","-2.5","26.0","0","1.0","0","0.0","0","0.0","186.7","0","219.0","0.0","19","","",NA,"261.9","0.0","1012055"
"DUNCAN FORESTRY","48.767","-123.683","BC","10.2","0",NA,"24.0","0","1.5","0","0.0","0",NA,"139.0","0",NA,"0.0","18","","",NA,"241.4","0.0","1012570"
"ELK LAKE 2","48.533","-123.383","BC","",,NA,"",,"",,"0.0","0",NA,"72.6","0",NA,"0.0","17","","",NA,"","","1012656"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","",,NA,"",,"",,"0.0","0",NA,"57.0","0",NA,"0.0","15","","",NA,"","","1012710"
"GANGES MANSELL RD","48.872","-123.497","BC","",,NA,"",,"",,"0.0","0",NA,"118.1","0",NA,"0.0","15","","",NA,"","","1013051"
"GALIANO NORTH","48.985","-123.574","BC","11.2","0",NA,"22.0","0","4.5","0","0.0","0",NA,"122.4","0",NA,"0.0","14","","",NA,"211.7","0.0","10130MN"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"64.2","0","161.0","0.0","12","","",NA,"","","1015105"
"METCHOSIN HAPPY VALLEY","48.417","-123.533","BC","",,NA,"",,"",,"0.0","0",NA,"79.2","0","179.0","0.0","12","","",NA,"","","1015107"
"MUIR CREEK 1W","48.383","-123.883","BC","",,NA,"",,"",,"0.0","0",NA,"148.4","0",NA,"0.0","19","","",NA,"","","1015242"
"NORTH COWICHAN","48.825","-123.720","BC","",,NA,"",,"",,"0.0","0",NA,"137.6","0","272.0","0.0","17","","",NA,"","","1015628"
"NORTH PENDER ISLAND","48.813","-123.317","BC","10.1","0",NA,"21.0","0","2.0","0","0.0","0",NA,"86.3","0",NA,"0.0","15","","",NA,"244.0","0.0","1015638"
"PIERS ISLAND","48.700","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"90.0","0",NA,"0.0","15","","",NA,"","","1016169"
"SAANICHTON CDA","48.698","-123.594","BC","10.6","0","-1.7","21.5","0","3.0","0","0.0","0",NA,"93.5","0","225.0","0.0","15","208.0","0","93.0","230.2","0.0","1016940"
"SALTSPRING IS CUSHEON LK","48.820","-123.477","BC","9.9","0","-1.5","24.0","0","0.5","0","0.0","0",NA,"117.4","0","232.0","0.0","16","","",NA,"250.0","0.0","1016992"
"SALTSPRING ST MARY'S L","48.888","-123.547","BC","10.4","0","-2.6","21.0","0","4.0","0","0.0","0",NA,"110.1","0","256.0","0.0","15","","",NA,"236.6","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","0",NA,"97.2","0","241.0","0.0","15","","",NA,"","","1016RM0"
"SATURNA ISLAND CS","48.783","-123.050","BC","10.8","0",NA,"21.0","0","5.5","0","0.0","0",NA,"76.6","0",NA,"0.0","15","205.5","0",NA,"223.2","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.627","BC","9.5","0","-2.6","23.0","0","2.0","0","0.0","0",NA,"147.4","0","292.0","0.0","18","","",NA,"262.4","0.0","1017230"
"SOOKE","48.367","-123.733","BC","",,NA,"",,"",,"0.0","0",NA,"111.7","0",NA,"0.0","17","","",NA,"","","1017556"
"SOOKE GLINZ LAKE","48.417","-123.633","BC","8.9","0",NA,"22.0","0","1.0","0","0.0","0",NA,"100.9","0",NA,"0.0","16","","",NA,"280.9","0.0","1017559"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"0.0","0","0.0","143.2","0","259.0","0.0","18","","",NA,"","","1017563"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","10.9","0",NA,"20.1","0","5.2","0","0.0","0",NA,"36.6","0",NA,"0.0","10","235.9","0",NA,"219.3","0.0","1018610"
"VICTORIA HIGHLAND","48.509","-123.508","BC","",,"","",,"",,"0.0","0",NA,"113.8","0","246.0","0.0","14","","",NA,"","","1018616"
"VICTORIA INT'L A","48.647","-123.426","BC","10.3","0","-1.8","20.9","0","2.1","0","0.0","0",NA,"88.7","0","236.0","0.0","9","220.0","0","91.0","238.9","0.0","1018620"
"VICTORIA MARINE","48.367","-123.750","BC","9.8","0",NA,"17.7","0","2.2","0","0.0","0",NA,"102.8","0",NA,"0.0","17","","",NA,"253.1","0.0","1018642"
"WILLIAM HEAD","48.340","-123.532","BC","10.4","0","-1.7","17.0","0","4.0","0","0.0","0",NA,"63.2","0","168.0","0.0","16","","",NA,"234.5","0.0","1018935"
"VICTORIA U VIC","48.467","-123.333","BC","",,NA,"",,"",,"0.0","0",NA,"89.8","0",NA,"0.0","16","","",NA,"","","1018FF6"
"VICTORIA PHYLLIS STREET","48.455","-123.267","BC","10.7","0",NA,"20.0","0","5.0","0","0.0","0",NA,"59.6","0",NA,"0.0","14","","",NA,"227.5","0.0","101HFEE"
"VICTORIA PRINCESS AVE","48.433","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"57.1","0",NA,"0.0","16","","",NA,"","","101Q655"
"VICTORIA PROSPECT LAKE","48.517","-123.433","BC","",,NA,"",,"",,"0.0","0",NA,"90.0","0",NA,"0.0","18","","",NA,"","","101Q6NN"
"ALERT BAY","50.583","-126.933","BC","9.1","0",NA,"18.2","0","2.9","0","0.0","0",NA,"120.4","0",NA,"0.0","23","","",NA,"277.2","0.0","1020270"
"BALLENAS ISLAND","49.350","-124.160","BC","",,NA,"",,"",,"0.0","0",NA,"82.8","0",NA,"0.0","16","","",NA,"","","1020590"
"BLACK CREEK","49.846","-125.133","BC","",,"","",,"",,"0.0","0",NA,"152.3","0","209.0","0.0","19","","",NA,"","","1020880"
"BLIND CHANNEL","50.417","-125.500","BC","",,NA,"",,"",,"0.0","0",NA,"191.5","0",NA,"0.0","21","","",NA,"","","1020885"
"CAMERON LAKE","49.283","-124.583","BC","",,NA,"",,"",,"0.0","0",NA,"237.8","0",NA,"0.0","21","","",NA,"","","1021230"
"CAMPBELL RIVER A","49.951","-125.271","BC","9.0","0","-2.6","19.6","0","-0.5","0","0.0","0",NA,"140.2","0","205.0","0.0","19","","",NA,"278.2","0.0","1021261"
"CAMPBELL RIVER STP","50.017","-125.233","BC","10.0","1",NA,"18.0","0","3.5","1","0.0","0",NA,"120.1","0",NA,"0.0","18","","",NA,"241.2","0.0","1021265"
"CAMPBELL RIVER SURFSIDE","49.946","-125.208","BC","9.7","1","-1.8","19.0","0","0.0","1","0.0","0",NA,"134.4","0","231.0","0.0","17","","",NA,"248.6","0.0","1021266"
"CAPE MUDGE","49.998","-125.195","BC","9.9","0","-2.2","18.2","0","3.4","0","0.0","0",NA,"110.6","0","158.0","0.0","19","","",NA,"251.1","0.0","1021330"
"CHATHAM POINT","50.333","-125.433","BC","9.8","0","-2.0","17.7","0","3.7","0","0.0","0",NA,"181.3","0","136.0","0.0","19","","",NA,"254.5","0.0","1021480"
"COAL HARBOUR RUPERT IN","50.600","-127.500","BC","9.1","0",NA,"19.5","0","1.5","0","0.0","0",NA,"180.4","0",NA,"0.0","25","","",NA,"277.0","0.0","1021737"
"COMOX A","49.717","-124.900","BC","10.5","0","-1.9","19.1","0","2.2","0","0.0","0",NA,"114.4","0","251.0","0.0","12","","",NA,"233.1","0.0","1021830"
