Environment Canada
Monthly Values for December - 1972

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"ALBERT HEAD","48.400","-123.483","BC","",,NA,"",,"",,"19.3","0",NA,"281.7","0",NA,"","21","","",NA,"","","1010235"
"BAMBERTON OCEAN CEMENT","48.583","-123.517","BC","",,NA,"",,"",,"29.3","0",NA,"342.9","0",NA,"","19","","",NA,"","","1010595"
"BRENTWOOD CLARKE ROAD","48.567","-123.450","BC","",,NA,"",,"",,"21.8","0",NA,"309.6","0",NA,"","19","","",NA,"","","1010961"
"CENTRAL SAANICH VEYANESS","48.583","-123.417","BC","",,NA,"",,"",,"22.9","0",NA,"288.7","0",NA,"","20","","",NA,"","","1011467"
"CENTRAL SAANICH ISL VIEW","48.571","-123.373","BC","",,NA,"",,"",,"19.1","0","168.0","272.9","0","204.0","","19","","",NA,"","","10114F6"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"22.0","0",NA,"389.4","0",NA,"","19","","",NA,"","","1011500"
"COBBLE HILL DELOUME ROAD","48.650","-123.567","BC","",,NA,"",,"",,"25.4","0",NA,"361.6","0",NA,"","18","","",NA,"","","1011745"
"CORDOVA BAY SOUTH","48.517","-123.367","BC","3.2","0",NA,"11.1","0","-6.7","0","10.4","0",NA,"255.2","0",NA,"","18","","",NA,"458.3","0.0","1011922"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","1.4","0",NA,"9.4","0","-11.7","0","16.3","0",NA,"323.1","0",NA,"","20","36.5","0",NA,"515.7","0.0","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","1.1","0","-1.7","10.0","0","-12.8","0","34.3","0","173.0","566.8","0","167.0","","21","23.4","0","60.0","522.6","0.0","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","1.2","0","-1.4","11.1","0","-13.9","0","42.5","0","295.0","552.7","0","187.0","","22","","",NA,"522.2","0.0","1012055"
"DUNCAN BCHPA VIT","48.833","-123.717","BC","0.9","0",NA,"11.1","0","-15.6","0","16.6","0",NA,"350.4","0",NA,"","18","","",NA,"528.9","0.0","1012562"
"DUNCAN FORESTRY","48.767","-123.683","BC","1.2","0",NA,"11.1","0","-15.6","0","23.4","0",NA,"342.0","0",NA,"","18","","",NA,"522.1","0.0","1012570"
"EAST SOOKE ANDERSON COVE","48.350","-123.633","BC","2.0","0",NA,"10.6","0","-14.4","0","24.2","0",NA,"311.3","0",NA,"","22","","",NA,"495.7","0.0","1012628"
"ELK LAKE","48.517","-123.383","BC","2.3","0",NA,"10.6","0","-8.9","0","18.0","0",NA,"275.7","0",NA,"","18","","",NA,"485.5","0.0","1012655"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","",,NA,"",,"",,"10.2","0",NA,"241.6","0",NA,"","19","","",NA,"","","1012710"
"GALIANO ISLAND GCC","48.900","-123.350","BC","",,NA,"",,"",,"16.7","0",NA,"263.1","0",NA,"","18","","",NA,"","","1013045"
"JAMES ISLAND","48.600","-123.350","BC","2.8","0",NA,"10.0","0","-6.1","0","13.5","0",NA,"246.0","0",NA,"","18","","",NA,"471.2","0.0","1013720"
"MAYNE ISLAND","48.845","-123.320","BC","",,"","",,"",,"16.0","0","180.0","242.5","0","195.0","","20","","",NA,"","","1014931"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"20.8","0","338.0","266.9","0","182.0","","19","","",NA,"","","1015105"
"METCHOSIN HAPPY VALLEY","48.417","-123.533","BC","",,NA,"",,"",,"24.1","0","279.0","300.0","0","189.0","","20","","",NA,"","","1015107"
"MILL BAY KILMALU","48.650","-123.550","BC","",,NA,"",,"",,"22.5","0",NA,"321.4","0",NA,"","21","","",NA,"","","1015134"
"MUIR CREEK 1W","48.383","-123.883","BC","",,NA,"",,"",,"19.8","0",NA,"401.2","0",NA,"","20","","",NA,"","","1015242"
"NORTH PENDER ISLAND","48.813","-123.317","BC","3.1","0",NA,"11.1","0","-8.3","0","15.8","0",NA,"238.4","0",NA,"","18","","",NA,"461.9","0.0","1015638"
"PORT RENFREW","48.591","-124.326","BC","2.3","0","-1.4","11.7","0","-11.1","0","44.7","0","370.0","889.9","0","185.0","","20","","",NA,"485.9","0.0","1016335"
"SAANICHTON CDA","48.698","-123.594","BC","2.4","0","-2.0","11.7","0","-10.0","0","19.4","0","290.0","287.2","0","203.0","0.0","19","46.0","0","96.0","482.3","0.0","1016940"
"SAANICH DENSMORE","48.500","-123.400","BC","2.1","0",NA,"10.6","0","-11.7","0","12.7","0",NA,"288.6","0",NA,"","18","","",NA,"491.6","0.0","1016942"
"SALTSPRING ISLAND","48.850","-123.500","BC","2.7","0",NA,"11.1","0","-8.3","0","33.0","0",NA,"320.5","0",NA,"","20","","",NA,"475.5","0.0","1016990"
"SAANICH DOM ASTRO OBS","48.517","-123.417","BC","2.0","0",NA,"10.0","0","-8.3","0","33.0","0",NA,"289.1","0",NA,"","20","","",NA,"495.4","0.0","10169DK"
"SALTSPRING VESUVIUS","48.883","-123.567","BC","3.2","0",NA,"11.7","0","-8.3","0","14.5","0",NA,"288.3","0",NA,"","20","","",NA,"458.0","0.0","1017000"
"SHAWNIGAN LAKE","48.647","-123.627","BC","1.2","0","-1.9","10.0","0","-13.3","0","28.0","0","188.0","409.3","0","210.0","","21","","",NA,"522.2","0.0","1017230"
"SIDNEY DEEP COVE","48.683","-123.400","BC","",,NA,"",,"",,"19.0","0",NA,"284.5","0",NA,"","19","","",NA,"","","1017329"
"SOOKE","48.367","-123.733","BC","",,NA,"",,"",,"18.6","0",NA,"342.7","0",NA,"","20","","",NA,"","","1017556"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"37.4","0","233.0","467.3","0","201.0","","21","","",NA,"","","1017563"
"SOUTH PENDER ISLAND 2","48.750","-123.217","BC","2.9","0",NA,"10.6","0","-7.8","0","14.9","0",NA,"228.9","0",NA,"","19","","",NA,"468.7","0.0","1017610"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","3.3","0",NA,"11.1","0","-7.2","0","10.5","0",NA,"159.0","0",NA,"0.0","17","52.1","0",NA,"456.9","0.0","1018610"
